sampleid	GEN_sex
#q2:types	categorical
10317.000046093	male
10317.000050156	female
10317.000037960	male
10317.000047201	female
10317.000046346	female
10317.000046308	female
10317.000046301	male
10317.000046306	female
10317.000046305	female
10317.000051111	male
10317.000038229	male
10317.000042549	male
10317.000033294	female
10317.000033295	female
10317.000054309	other
10317.000046383	female
10317.000046385	female
10317.000052404	male
10317.000052406	female
10317.000052409	male
10317.000053468	female
10317.000051197	female
10317.000049911	female
10317.000028652	male
10317.000050293	female
10317.000050290	female
10317.000050296	female
10317.000050295	female
10317.000050294	female
10317.000050298	male
10317.000051264	female
10317.000058509	male
10317.000058508	female
10317.000047813	female
10317.000047602	male
10317.000047603	female
10317.000047604	female
10317.000047605	male
10317.000047606	female
10317.000047607	male
10317.000050009	female
10317.000050002	male
10317.000050001	female
10317.000050004	female
10317.000047183	female
10317.000046333	male
10317.000046332	male
10317.000046336	female
10317.000052274	female
10317.000054094	female
10317.000054099	male
10317.000052001	female
10317.000052008	female
10317.000053357	female
10317.000053356	male
10317.000053353	female
10317.000053352	female
10317.000048268	male
10317.000050029	male
10317.000047738	female
10317.000047739	female
10317.000047736	female
10317.000062087	male
10317.000062086	female
10317.000062085	male
10317.000062084	male
10317.000062083	female
10317.000062082	female
10317.000062081	male
10317.000062088	female
10317.000050326	male
10317.000053436	female
10317.000053435	male
10317.000049928	male
10317.000049925	female
10317.000049921	male
10317.000051144	female
10317.000051145	female
10317.000044550	female
10317.000044555	female
10317.000037586	male
10317.000037588	female
10317.000050231	female
10317.000028233	male
10317.000050281	male
10317.000050288	male
10317.000050289	female
10317.000051238	male
10317.000051239	female
10317.000051237	female
10317.000051232	female
10317.000051231	male
10317.000033484	female
10317.000037986	female
10317.000048309	female
10317.000048303	male
10317.000048304	female
10317.000027918	male
10317.000030366	female
10317.000050240	male
10317.000050241	female
10317.000044340	female
10317.000038111	female
10317.000050032	male
10317.000058550	male
10317.000058551	female
10317.000058552	male
10317.000033296	female
10317.000033297	male
10317.000038323	female
10317.000038324	male
10317.000047151	male
10317.000051999	female
10317.000044423	female
10317.000038019	female
10317.000047228	male
10317.000047229	male
10317.000047220	female
10317.000047221	female
10317.000046201	male
10317.000053401	male
10317.000036938	female
10317.000051130	female
10317.000038076	male
10317.000038201	Not provided
10317.000047588	male
10317.000042697	female
10317.000053305	female
10317.000053308	female
10317.000050242	male
10317.000004079	female
10317.000051204	female
10317.000035761	female
10317.000035768	female
10317.000026047	female
10317.000026048	male
10317.000034151	female
10317.000052429	male
10317.000052426	male
10317.000052425	male
10317.000052421	female
10317.000040469	female
10317.000053481	female
10317.000053480	female
10317.000027920	female
10317.000033318	male
10317.000052383	female
10317.000052381	male
10317.000052380	female
10317.000052384	male
10317.000053386	male
10317.000053387	male
10317.000053463	female
10317.000051193	female
10317.000042969	female
10317.000054205	male
10317.000054206	female
10317.000054207	female
10317.000054208	female
10317.000047620	female
10317.000050235	male
10317.000050234	female
10317.000050236	female
10317.000052266	male
10317.000054072	female
10317.000047397	male
10317.000053433	Not provided
10317.000046290	female
10317.000046292	female
10317.000046293	female
10317.000046294	female
10317.000046295	female
10317.000053439	male
10317.000052516	male
10317.000037978	female
10317.000050031	female
10317.000031597	male
10317.000031596	female
10317.000031598	female
10317.000047218	female
10317.000030384	male
10317.000030383	male
10317.000030382	female
10317.000053371	male
10317.000053373	male
10317.000002929	female
10317.000054330	female
10317.000054333	male
10317.000054334	male
10317.000054336	male
10317.000054338	male
10317.000038044	female
10317.000052416	female
10317.000052414	male
10317.000052412	female
10317.000052418	male
10317.000053454	female
10317.000053457	female
10317.000053458	male
10317.000053459	female
10317.000058487	male
10317.000058480	male
10317.000051160	female
10317.000051258	male
10317.000051255	female
10317.000051256	male
10317.000046269	male
10317.000047796	male
10317.000047795	female
10317.000048326	male
10317.000048325	female
10317.000048329	male
10317.000049981	female
10317.000042749	male
10317.000050269	female
10317.000050267	female
10317.000050265	female
10317.000050262	female
10317.000050261	female
10317.000050193	female
10317.000047455	female
10317.000042865	female
10317.000052523	male
10317.000052524	female
10317.000048292	female
10317.000047176	male
10317.000046270	male
10317.000046344	male
10317.000046345	female
10317.000046342	male
10317.000036170	female
10317.000051099	female
10317.000051094	male
10317.000021985	female
10317.000062078	female
10317.000062072	female
10317.000062073	female
10317.000062070	female
10317.000062076	female
10317.000062077	female
10317.000062074	female
10317.000062075	female
10317.000053425	male
10317.000053424	female
10317.000051159	male
10317.000045018	male
10317.000053321	female
10317.000053326	male
10317.000053324	female
10317.000054198	male
10317.000033783	male
10317.000030471	male
10317.000047370	female
10317.000052448	male
10317.000048316	male
10317.000048315	female
10317.000049956	female
10317.000049954	female
10317.000036975	male
10317.000050257	female
10317.000050253	female
10317.000050252	female
10317.000022952	female
10317.000033701	male
10317.000046186	male
10317.000050046	male
10317.000050047	female
10317.000050045	female
10317.000035402	male
10317.000035401	female
10317.000040490	female
10317.000047142	female
10317.000047141	male
10317.000047140	female
10317.000023515	male
10317.000046375	male
10317.000047609	male
10317.000032653	male
10317.000032650	female
10317.000041643	male
10317.000051569	female
10317.000051564	female
10317.000051563	male
10317.000051560	male
10317.000054054	male
10317.000047403	female
10317.000047401	female
10317.000047404	male
10317.000030255	male
10317.000027853	male
10317.000033225	female
10317.000046106	female
10317.000052288	female
10317.000052289	female
10317.000052280	female
10317.000047230	male
10317.000047232	female
10317.000047237	female
10317.000044252	female
10317.000058469	female
10317.000036924	female
10317.000051100	female
10317.000053311	male
10317.000053310	male
10317.000053317	female
10317.000053316	female
10317.000042722	female
10317.000042724	female
10317.000042725	male
10317.000027814	female
10317.000054318	female
10317.000054319	male
10317.000054313	male
10317.000054310	female
10317.000054314	female
10317.000054315	female
10317.000047776	male
10317.000047777	male
10317.000047779	female
10317.000052430	female
10317.000052432	male
10317.000053475	female
10317.000051180	female
10317.000017138	female
10317.000026517	male
10317.000053399	male
10317.000053398	female
10317.000053391	female
10317.000050282	female
10317.000050283	female
10317.000050284	female
10317.000050285	male
10317.000050286	male
10317.000050287	female
10317.000051257	female
10317.000029468	female
10317.000032654	male
10317.000058511	female
10317.000058512	female
10317.000023528	female
10317.000052324	female
10317.000052327	female
10317.000042655	male
10317.000052370	male
10317.000054004	female
10317.000051561	female
10317.000047386	female
10317.000047381	male
10317.000047380	male
10317.000047196	male
10317.000047197	male
10317.000051076	female
10317.000052034	male
10317.000052031	female
10317.000052030	male
10317.000053348	male
10317.000027887	male
10317.000002930	female
10317.000033144	female
10317.000033145	male
10317.000033146	male
10317.000058498	female
10317.000054323	female
10317.000054321	female
10317.000054326	female
10317.000054325	male
10317.000054324	male
10317.000054329	female
10317.000054328	male
10317.000048277	female
10317.000049933	Not provided
10317.000036405	female
10317.000036403	male
10317.000046337	female
10317.000041702	female
10317.000033333	male
10317.000050335	male
10317.000049934	male
10317.000051171	male
10317.000044543	male
10317.000003283	female
10317.000052281	male
10317.000051242	female
10317.000051245	male
10317.000051244	male
10317.000052462	female
10317.000052463	female
10317.000031556	female
10317.000048335	male
10317.000047666	male
10317.000047667	male
10317.000047664	male
10317.000047665	female
10317.000050183	male
10317.000051582	female
10317.000017759	male
10317.000017758	male
10317.000039871	male
10317.000031189	female
10317.000050021	female
10317.000050022	male
10317.000048283	male
10317.000048284	female
10317.000037933	male
10317.000035427	male
10317.000038081	female
10317.000033483	female
10317.000047167	female
10317.000047166	male
10317.000051989	female
10317.000052067	female
10317.000052065	male
10317.000052063	female
10317.000052061	female
10317.000052260	male
10317.000052268	female
10317.000028904	female
10317.000028905	male
10317.000042995	female
10317.000053410	male
10317.000053413	male
10317.000051127	male
10317.000051129	male
10317.000040063	female
10317.000047591	male
10317.000047596	female
10317.000047598	male
10317.000052453	male
10317.000052450	male
10317.000052454	female
10317.000050341	male
10317.000050343	male
10317.000053496	female
10317.000053491	female
10317.000047778	female
10317.000041781	female
10317.000027282	male
10317.000050228	male
10317.000016169	male
10317.000045012	male
10317.000053430	female
10317.000028654	female
10317.000058553	male
10317.000053381	female
10317.000051548	male
10317.000049985	female
10317.000049986	male
10317.000047611	male
10317.000047610	female
10317.000042635	male
10317.000047368	male
10317.000042709	male
10317.000042701	female
10317.000052431	female
10317.000047411	male
10317.000046355	female
10317.000042590	female
10317.000036431	male
10317.000053344	female
10317.000028581	female
10317.000050273	female
10317.000049955	female
10317.000052055	female
10317.000050155	male
10317.000051210	female
10317.000058471	female
10317.000058475	female
10317.000058478	female
10317.000041592	female
10317.000046274	male
10317.000046271	female
10317.000054197	male
10317.000042644	female
10317.000052369	female
10317.000029582	female
10317.000039913	female
10317.000039912	male
10317.000044292	female
10317.000047680	female
10317.000047681	female
10317.000046321	female
10317.000038251	female
10317.000030469	female
10317.000030466	female
10317.000016493	male
10317.000053429	female
10317.000035414	male
10317.000046215	male
10317.000059172	male
10317.000053482	female
10317.000046317	male
10317.000042660	female
10317.000022433	male
10317.000020353	male
10317.000050194	male
10317.000037929	female
10317.000036950	female
10317.000047692	female
10317.000047695	female
10317.000047694	male
10317.000030145	female
10317.000041956	male
10317.000037516	male
10317.000038316	female
10317.000026499	female
10317.000041730	male
10317.000053472	female
10317.000039984	male
10317.000039980	female
10317.000041678	female
10317.000051557	male
10317.000051558	male
10317.000042845	male
10317.000042847	female
10317.000042846	male
10317.000046326	male
10317.000053343	male
10317.000032735	female
10317.000050184	female
10317.000046121	female
10317.000053419	female
10317.000053417	female
10317.000038307	female
